Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,CTR,CPC,CPA,ROI
A1000,DataAnalyticsCourse,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,hyderabad,desktop,learn data analytics,0.023121387283236993,2.2296153846153848,33.12571428571429,8.159392789373815
A1001,DataAnalyticsCourse,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,20-11-2024,hyderabad,mobile,data analytics course,0.033875073428627375,1.2534104046242776,27.105,7.743036340158643
A1002,Data Anlytics Corse,90.0,4544.0,203.66,26.0,9.0,,1624.0,2024/11/16,hyderabad,Desktop,data analitics online,0.019806338028169015,2.262888888888889,22.628888888888888,7.974074437788471
A1003,Data Analytcis Course,142.0,3185.0,237.66,17.0,6.0,,1225.0,2024-11-26,HYDERABAD,tablet,data anaytics training,0.0445839874411303,1.673661971830986,39.61,5.154422283935033
A1004,Data Analytics Corse,156.0,3361.0,195.9,30.0,8.0,,1091.0,2024-11-22,hyderabad,desktop,online data analytic,0.046414757512645045,1.2557692307692307,24.4875,5.569167942827973
A1005,DataAnalyticsCourse,195.0,3776.0,243.57,10.0,8.0,,1315.0,16-11-2024,hyderabad,MOBILE,data anaytics training,0.051641949152542374,1.249076923076923,30.44625,5.398858644332225
A1006,Data Analytics Corse,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,06-11-2024,hyderabad,TABLET,data analytics course,0.025892857142857145,2.0499137931034483,47.558,6.896841751124942
A1007,Data Analytics Corse,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024/11/24,Hyderbad,TABLET,analytics for data,0.03636363636363636,1.2478804347826087,76.53666666666668,6.57201341404991
A1009,Data Analytcis Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024/11/12,Hyderbad,Mobile,online data analytic,0.04947839046199702,1.1251807228915662,20.753333333333334,5.509155155798266
A1010,DataAnalyticsCourse,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,14-11-2024,HYDERABAD,DESKTOP,learn data analytics,0.018707167994072977,2.3444554455445545,39.464999999999996,8.023987499472106
A1011,Data Analytics Corse,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024/11/22,hyderabad,Desktop,online data analytic,0.027954608358704676,2.0605940594059406,41.624,5.4295598693061695
A1012,Data Analytcis Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024/11/27,hydrebad,DESKTOP,data analitics online,0.03835532371893219,1.5304,63.76666666666667,10.240460010454782
A1013,Data Analytics Corse,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,12-11-2024,hyderabad,mobile,data anaytics training,0.052378407268840195,1.0584693877551021,29.63714285714286,7.8231948327388405
A1014,Data Analytcis Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Hyderbad,Desktop,data anaytics training,0.041985618186035724,1.022596685082873,20.565555555555555,8.309471068129017
A1015,Data Analytcis Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,hyderabad,desktop,data analytics course,0.01867789782091192,1.9773529411764705,25.21125,8.701472556894243
A1017,Data Anlytics Corse,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,12-11-2024,HYDERABAD,mobile,learn data analytics,0.0336267208305123,1.3919463087248323,23.044444444444444,8.162970106075218
A1018,Data Analytics Corse,150.0,3113.0,217.41,20.0,5.0,,1785.0,2024/11/07,hyderabad,Mobile,analytics for data,0.04818503051718599,1.4494,43.482,8.210293914723334
